evaluations raw_y
1 25.6496170942
2 11.4074045453
3 10.5974865129
7 5.8460921433
23 5.1202516405
63 5.1169848282
84 4.1813494865
93 3.9680228353
210 3.3103707274
366 2.7974222357
441 2.2407271638
1731 1.9835983129
1956 1.7066925181
2043 1.4567490219
2099 1.1873883751
2219 0.7826589793
2620 0.6862914505
2635 0.6730143916
2644 0.5008266260
2672 0.4214287196
2735 0.3922595808
2758 0.3912785219
2759 0.3901531586
2858 0.3654551635
2866 0.3646289990
2877 0.3591468566
2904 0.2941032795
2962 0.2809793062
3002 0.2725317920
3039 0.2660209268
3085 0.2430331536
3116 0.2349514447
3172 0.2290135340
3173 0.2221936678
3281 0.2050776859
3297 0.1896168141
3364 0.1841199285
3406 0.1824043016
3571 0.1809224252
3575 0.1792686949
3586 0.1776003137
3629 0.1761148270
3642 0.1719779740
3669 0.1704157619
3832 0.1695126229
3843 0.1692634624
3861 0.1692334365
3884 0.1691896966
3912 0.1689939017
3924 0.1680959324
3930 0.1666535812
3937 0.1659935626
3947 0.1638691926
4057 0.1634949460
4097 0.1610578441
4120 0.1606046475
4173 0.1605420583
4192 0.1591725990
4251 0.1580602076
4322 0.1579794725
4335 0.1577270746
4349 0.1571558818
4401 0.1570302469
4408 0.1565435455
4426 0.1564330695
4457 0.1556971129
4588 0.1555197849
4614 0.1552142702
4624 0.1551203542
4635 0.1551172213
4642 0.1548080209
4664 0.1547791531
4680 0.1545811006
4693 0.1544406797
4896 0.1541719143
4919 0.1541644214
4944 0.1539371146
5122 0.1538464632
5145 0.1538203723
5210 0.1537041595
5212 0.1536869529
5215 0.1536364303
5237 0.1536342643
5314 0.1536120409
5322 0.1535530565
5332 0.1534712110
5371 0.1534358857
5416 0.1534121996
5435 0.1533906461
5452 0.1533827605
5493 0.1533793704
5517 0.1533728453
5528 0.1533521794
5580 0.1533421221
5582 0.1532340829
5793 0.1532002350
5813 0.1531962334
5840 0.1531954295
6008 0.1531934040
6015 0.1531879075
6061 0.1531784458
6100 0.1531683575
6124 0.1531654167
6154 0.1531652996
6155 0.1531627362
6172 0.1531613529
6230 0.1531593189
6231 0.1531522910
6236 0.1531500108
6259 0.1531426388
6297 0.1531407668
6456 0.1531384153
6466 0.1531363921
6470 0.1531292347
6579 0.1531274743
6650 0.1531264567
6787 0.1531258092
6800 0.1531239357
6848 0.1531238608
6857 0.1531220700
6938 0.1531220451
6943 0.1531219426
6956 0.1531207420
7016 0.1531179883
7137 0.1531175355
7179 0.1531172060
7226 0.1531167403
7249 0.1531162639
7265 0.1531158136
7443 0.1531158001
7475 0.1531155613
7554 0.1531154731
7641 0.1531153758
7668 0.1531153213
7779 0.1531152777
7789 0.1531152524
7807 0.1531152070
7816 0.1531151641
7817 0.1531150541
7980 0.1531150514
7984 0.1531150036
7997 0.1531149517
8042 0.1531149492
8051 0.1531149023
8122 0.1531148075
8174 0.1531148000
8214 0.1531147198
8229 0.1531147192
8286 0.1531147090
8291 0.1531146877
8292 0.1531146630
8411 0.1531146244
8476 0.1531146094
8572 0.1531145968
8594 0.1531145920
8656 0.1531145802
8731 0.1531145757
8776 0.1531145728
8795 0.1531145661
8850 0.1531145642
9049 0.1531145638
9065 0.1531145607
9111 0.1531145602
9112 0.1531145543
9149 0.1531145494
9154 0.1531145484
9216 0.1531145472
9260 0.1531145469
9280 0.1531145464
9362 0.1531145462
9404 0.1531145443
9504 0.1531145441
9551 0.1531145436
9654 0.1531145430
9783 0.1531145428
9796 0.1531145426
9999 0.1531145423
10075 0.1531145421
10130 0.1531145419
10165 0.1531145418
10206 0.1531145416
10255 0.1531145414
10719 0.1531145412
10789 0.1531145411
11304 0.1531145410
11403 0.1531145408
11568 0.1531145407
11724 0.1531145406
11818 0.1531145404
12035 0.1531145403
12863 0.1531145401
13420 0.1531145400
14127 0.1531145399
14717 0.1531145397
14895 0.1531145395
16542 0.1531145394
17567 0.1531145393
18135 0.1531145391
18167 0.1531145390
18766 0.1531145388
18808 0.1531145387
19323 0.1531145386
19519 0.1531145385
19663 0.1531145383
20740 0.1531145382
21177 0.1531145380
21737 0.1531145379
21785 0.1531145377
22184 0.1531145376
23016 0.1531145375
23117 0.1531145373
23729 0.1531145371
24454 0.1531145370
24896 0.1531145368
25206 0.1531145366
25480 0.1531145365
25608 0.1531145364
26146 0.1531145363
27142 0.1531145361
27681 0.1531145360
28075 0.1531145358
28195 0.1531145356
28350 0.1531145354
28492 0.1531145353
29463 0.1531145351
29565 0.1531145350
30064 0.1531145349
30167 0.1531145348
30498 0.1531145346
31622 0.1531145345
32133 0.1531145344
32238 0.1531145342
33317 0.1531145340
33376 0.1531145339
33802 0.1531145337
34017 0.1531145336
34650 0.1531145334
35155 0.1531145333
35834 0.1531145332
36591 0.1531145331
37036 0.1531145329
37135 0.1531145328
37478 0.1531145326
37587 0.1531145325
37683 0.1531145324
37856 0.1531145322
38500 0.1531145321
40087 0.1531145319
40922 0.1531145317
41467 0.1531145316
41603 0.1531145315
41774 0.1531145314
41969 0.1531145312
42060 0.1531145310
42499 0.1531145308
42600 0.1531145307
42712 0.1531145304
43011 0.1531145302
43204 0.1531145301
43250 0.1531145298
44108 0.1531145297
44359 0.1531145295
44586 0.1531145293
44660 0.1531145292
44891 0.1531145291
45120 0.1531145289
45233 0.1531145288
45356 0.1531145287
45464 0.1531145285
45602 0.1531145284
46393 0.1531145283
46461 0.1531145282
46488 0.1531145280
46778 0.1531145278
46920 0.1531145276
46940 0.1531145275
47112 0.1531145274
47149 0.1531145272
47222 0.1531145271
49879 0.1531145269
50000 0.1531145272
evaluations raw_y
1 16.4585609350
2 9.2529985486
6 9.0463947057
7 7.2522413298
11 6.7327163003
16 5.3512013473
67 3.4040082198
233 3.0323400295
533 2.8868897348
740 2.5269407174
2385 2.3404931219
2445 1.9271106352
2457 1.6301574619
2508 1.4627616558
2611 1.1285871172
2673 1.0383008418
2710 1.0087284746
2721 0.8899420214
3124 0.8848096611
3135 0.8375358207
3164 0.8354606796
3176 0.7758374844
3326 0.7470593419
3380 0.7034941826
3414 0.6838840336
3448 0.6515919850
3606 0.6489846137
3822 0.6462222156
3846 0.6176685700
3878 0.6045873239
3887 0.5987584919
3902 0.5926805980
3911 0.5913312664
3918 0.5910261211
3968 0.5865667610
3975 0.5860929215
3976 0.5844056953
3993 0.5819308569
4054 0.5789541087
4110 0.5740026892
4219 0.5717747826
4245 0.5716682214
4255 0.5708365015
4263 0.5707468670
4301 0.5696780669
4309 0.5667179705
4430 0.5645941334
4469 0.5643983197
4505 0.5628504568
4573 0.5625660405
4618 0.5621845295
4633 0.5621827677
4662 0.5611815682
4674 0.5609202555
4697 0.5589997797
4796 0.5582828030
4816 0.5582021996
4841 0.5573717621
4858 0.5569564601
4878 0.5568987460
4881 0.5567271902
4889 0.5558878682
4895 0.5552253440
5333 0.5551053518
5359 0.5550696250
5368 0.5548660259
5394 0.5547699559
5407 0.5543892271
5441 0.5543747613
5458 0.5543334578
5489 0.5542017254
5491 0.5540093909
5517 0.5539733759
5562 0.5539153915
5578 0.5538815340
5612 0.5538427905
5613 0.5536285155
5626 0.5535859080
5628 0.5534624503
5640 0.5534177194
5666 0.5532864952
5785 0.5532474045
5818 0.5531322262
5963 0.5531176191
5981 0.5530545562
5984 0.5530152078
6061 0.5529827707
6185 0.5529673886
6198 0.5529417246
6270 0.5529364111
6275 0.5529027663
6379 0.5528750602
6500 0.5528645707
6502 0.5528643640
6518 0.5528631778
6525 0.5528596470
6557 0.5528423133
6714 0.5528400073
6722 0.5528384571
6751 0.5528243393
6886 0.5528215924
6935 0.5528205724
6947 0.5528183003
7062 0.5528173367
